App,Type,API,Number
114移车,sources,swan.downloadFile,1
114移车,sinks,swan.saveImageToPhotosAlbum,1
365点餐优惠,sources,swan.getLocation,9
365点餐优惠,sources,swan.input,2
365点餐优惠,sources,swan.getStorage,8
365点餐优惠,sources,swan.getStorageSync,1
365点餐优惠,sinks,swan.setStorageSync,3
365点餐优惠,sinks,swan.request,13
365点餐优惠,sinks,swan.setClipboardData,4
8字便利到家,sources,swan.getExtConfig,1
8字便利到家,sinks,swan.setClipboardData,1
CEOBS总裁课程,sources,swan.getStorageSync,2
CEOBS总裁课程,sinks,swan.setStorageSync,2
dhl国际快递查询,sources,swan.getStorageSync,2
dhl国际快递查询,sinks,swan.setStorageSync,2
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sources,swan.getStorageSync,152
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sources,swan.getFileInfo,1
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sources,swan.compressImage,1
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sinks,swan.request,140
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sinks,swan.uploadFile,4
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sinks,swan.setClipboardData,8
G5pOLL33sADTGB1QpBs1pPSk1k4XOOpX,sinks,swan.setStorageSync,2
i8Am3G20th5l3L9dIDj8SZPGgULQvnap,sources,swan.getStorageSync,1
i8Am3G20th5l3L9dIDj8SZPGgULQvnap,sources,swan.input,24
i8Am3G20th5l3L9dIDj8SZPGgULQvnap,sources,swan.getStorage,2
i8Am3G20th5l3L9dIDj8SZPGgULQvnap,sinks,swan.setStorageSync,1
i8Am3G20th5l3L9dIDj8SZPGgULQvnap,sinks,swan.request,26
i厦门,sources,swan.getUserInfo,1
i厦门,sinks,swan.request,1
KISSCAKE私家烘焙,sources,swan.getExtConfig,1
KISSCAKE私家烘焙,sinks,swan.setClipboardData,1
PROTANDIM补添得,sources,swan.getLocation,8
PROTANDIM补添得,sources,swan.getStorageSync,104
PROTANDIM补添得,sources,swan.chooseImage,5
PROTANDIM补添得,sources,swan.getSystemInfoSync,3
PROTANDIM补添得,sources,swan.input,3
PROTANDIM补添得,sources,swan.getExtConfigSync,1
PROTANDIM补添得,sinks,swan.request,116
PROTANDIM补添得,sinks,swan.setStorageSync,1
PROTANDIM补添得,sinks,swan.uploadFile,7
SuperHC超护,sources,swan.getExtConfig,1
SuperHC超护,sinks,swan.setClipboardData,1
TwoCake蛋糕烘焙,sources,swan.getExtConfig,1
TwoCake蛋糕烘焙,sinks,swan.setClipboardData,1
usmile,sources,swan.getExtConfig,1
usmile,sinks,swan.setClipboardData,1
YY直播,sources,swan.getSystemInfo,1
YY直播,sources,swan.getStorageSync,6
YY直播,sinks,swan.setStorage,1
YY直播,sinks,swan.request,6
