Type,Edge-only CPU,Edge-only GPU,Edge-only Main,JointDNN CPU,JointDNN GPU,JointDNN Transfer,JointDNN Main,Ours CPU,Ours GPU,Ours Transfer,Ours Main
One-Hop BI-SLTM,1.155839444,1.842544056,5.942374556,1.644191267,1.413080044,0.171682622,5.771177378,0.775412196,0.068289142,0.013217253,1.837198213
5G BI-LSTM,1.155839444,1.842544056,5.942374556,1.210052444,0.102320611,0.284718222,3.091861944,0.967774275,0.093655575,0.3052478,2.646637175
One-Hop Chair,5.52916,22.96294,54.55814,12.539707,16.793264,0.331446,52.313227,2.3627196,4.911393983,0.076569617,12.43709345
5G Chair,5.52916,22.96294,54.55814,14.62414278,7.891518556,1.655563333,45.03132267,2.242338972,3.970580717,0.514097228,12.11956869
WiFi ResNet,3.65092,16.16069,34.012615,5.25426,15.01975333,0.344976667,34.31191,5.102136875,10.0455406,0.498875606,26.78054955
One-Hop ResNet,3.65092,16.16069,34.012615,4.632658333,11.97711667,0.180786667,27.863745,6.396052697,0.498856478,0.106897817,14.18177701
5G ResNet,3.65092,16.16069,34.012615,7.678585833,0.694729194,4.716845583,25.44902733,4.317109611,0.528625667,3.436066833,16.03497856
WiFi Tiny Type1,1.762098,8.73886,18.19402,2.2463168,7.0025488,0.114608,15.6096096,2.8154225,0.290926992,0.39415915,6.747629258
One-Hop Tiny Type1,1.762098,8.73886,18.19402,4.284074667,0.876288,0.083456,10.265088,2.355130133,0.427155956,0.092358044,6.799861022
5G Tiny Type1,1.762098,8.73886,18.19402,1.78895345,0.918466522,0.274169111,5.538216044,0.972341611,1.0653482,0.160647744,3.982373033
WiFi Tiny Type2,0.551026667,4.051666667,8.038506667,0.408868667,0.065418987,0.139015347,1.26953721,0.411877608,0.08283572,0.202487316,1.456528077
One-Hop Tiny Type2,0.551026667,4.051666667,8.038506667,1.40743,0.300251733,0.043786711,3.753146667,0.947962361,0.398039444,0.031424167,3.205265
5G Tiny Type2,0.551026667,4.051666667,8.038506667,0.991061867,0.123882733,0.336253133,2.955488067,0.905802344,0.238691158,0.618148897,3.978185972
